ISIN,Risk_Stripe
ISIN13714,Stripe 5
ISIN13715,Stripe 6
ISIN13716,Stripe 6
ISIN13717,Stripe 6
ISIN13718,Stripe 6
ISIN13721,Stripe 0
ISIN13722,Stripe 5
ISIN13723,Stripe 6
ISIN13725,Stripe 5
ISIN13726,Stripe 2
ISIN13727,Stripe 2
ISIN13728,Stripe 0
ISIN13731,Stripe 2
ISIN13732,Stripe 5
ISIN13733,Stripe 5
ISIN13734,Stripe 5
ISIN13735,Stripe 5
ISIN13736,Stripe 5
ISIN13737,Stripe 5
ISIN13738,Stripe 5
ISIN13739,Stripe 5
ISIN13740,Stripe 5
ISIN13741,Stripe 5
ISIN13742,Stripe 5
ISIN13743,Stripe 5
ISIN13744,Stripe 5
ISIN13745,Stripe 5
ISIN13746,Stripe 5
ISIN13747,Stripe 5
ISIN13748,Stripe 5
ISIN13749,Stripe 5
ISIN13750,Stripe 5
ISIN13751,Stripe 3
ISIN13752,Stripe 3
ISIN13753,Stripe 3
ISIN13754,Stripe 3
ISIN13755,Stripe 3
ISIN13756,Stripe 3
ISIN13768,Stripe 2
ISIN13769,Stripe 2
ISIN13770,Stripe 2
ISIN13771,Stripe 2
ISIN13772,Stripe 2
ISIN13773,Stripe 2
ISIN13774,Stripe 2
ISIN13775,Stripe 2
ISIN13776,Stripe 2
ISIN13778,Stripe 2
ISIN13779,Stripe 2
ISIN13780,Stripe 2
ISIN13781,Stripe 2
ISIN13782,Stripe 2
ISIN13783,Stripe 2
ISIN13784,Stripe 5
ISIN13786,Stripe 2
ISIN13787,Stripe 6
ISIN13788,Stripe 5
ISIN13789,Stripe 5
ISIN13790,Stripe 5
ISIN13791,Stripe 3
ISIN13792,Stripe 3
ISIN13793,Stripe 2
ISIN13794,Stripe 5
ISIN13795,Stripe 5
ISIN13796,Stripe 5
ISIN13797,Stripe 5
ISIN13798,Stripe 5
ISIN13799,Stripe 5
ISIN13800,Stripe 5
ISIN13801,Stripe 5
ISIN13802,Stripe 5
ISIN13803,Stripe 5
ISIN13804,Stripe 5
ISIN13805,Stripe 6
ISIN13806,Stripe 5
ISIN13807,Stripe 6
ISIN13808,Stripe 6
ISIN13809,Stripe 6
ISIN13810,Stripe 6
ISIN13811,Stripe 5
ISIN13812,Stripe 5
ISIN13813,Stripe 5
ISIN13814,Stripe 5
ISIN13815,Stripe 5
ISIN13816,Stripe 5
ISIN13817,Stripe 5
ISIN13818,Stripe 5
ISIN13819,Stripe 5
ISIN13820,Stripe 5
ISIN13821,Stripe 5
ISIN13822,Stripe 5
ISIN13823,Stripe 5
ISIN13824,Stripe 5
ISIN13826,Stripe 6
ISIN13827,Stripe 2
ISIN13828,Stripe 3
ISIN13830,Stripe 5
ISIN13831,Stripe 5
ISIN13832,Stripe 5
ISIN13833,Stripe 5
ISIN13834,Stripe 2
ISIN13836,Stripe 0
ISIN13838,Stripe 0
ISIN13839,Stripe 0
ISIN13840,Stripe 0
ISIN13841,Stripe 0
ISIN13842,Stripe 0
ISIN13843,Stripe 0
ISIN13844,Stripe 0
ISIN13845,Stripe 0
ISIN13846,Stripe 0
ISIN13847,Stripe 0
ISIN13848,Stripe 0
ISIN13849,Stripe 0
ISIN13850,Stripe 0
ISIN13851,Stripe 0
ISIN13852,Stripe 5
ISIN13853,Stripe 5
ISIN13855,Stripe 5
ISIN13856,Stripe 5
ISIN13857,Stripe 5
ISIN13858,Stripe 5
ISIN13859,Stripe 5
ISIN13860,Stripe 5
ISIN13861,Stripe 2
ISIN13862,Stripe 5
ISIN13863,Stripe 5
ISIN13865,Stripe 5
ISIN13866,Stripe 6
ISIN13867,Stripe 6
ISIN13868,Stripe 0
ISIN13869,Stripe 0
ISIN13870,Stripe 6
ISIN13871,Stripe 6
ISIN13872,Stripe 5
ISIN13873,Stripe 5
ISIN13874,Stripe 5
ISIN13875,Stripe 5
ISIN13876,Stripe 5
ISIN13877,Stripe 5
ISIN13878,Stripe 5
ISIN13879,Stripe 5
ISIN13880,Stripe 5
ISIN13881,Stripe 5
ISIN13882,Stripe 5
ISIN13883,Stripe 5
ISIN13888,Stripe 0
ISIN13890,Stripe 5
ISIN13891,Stripe 5
ISIN13892,Stripe 5
ISIN13893,Stripe 5
ISIN13894,Stripe 5
ISIN13895,Stripe 5
ISIN13898,Stripe 5
ISIN13899,Stripe 5
ISIN13900,Stripe 5
ISIN13901,Stripe 5
ISIN13902,Stripe 5
ISIN13903,Stripe 5
ISIN13904,Stripe 5
ISIN13905,Stripe 5
ISIN13906,Stripe 5
ISIN13907,Stripe 5
ISIN13908,Stripe 5
ISIN13909,Stripe 5
ISIN13910,Stripe 5
ISIN13911,Stripe 5
ISIN13912,Stripe 5
ISIN13913,Stripe 5
ISIN13914,Stripe 5
ISIN13915,Stripe 5
ISIN13916,Stripe 5
ISIN13917,Stripe 5
ISIN13918,Stripe 5
ISIN13919,Stripe 5
ISIN13920,Stripe 5
ISIN13921,Stripe 5
ISIN13922,Stripe 5
ISIN13923,Stripe 5
ISIN13924,Stripe 5
ISIN13925,Stripe 5
ISIN13926,Stripe 5
ISIN13927,Stripe 5
ISIN13928,Stripe 5
ISIN13929,Stripe 5
ISIN13930,Stripe 5
ISIN13931,Stripe 5
ISIN13932,Stripe 5
ISIN13933,Stripe 5
ISIN13934,Stripe 5
ISIN13937,Stripe 5
ISIN13938,Stripe 0
ISIN13939,Stripe 8
ISIN13940,Stripe 5
ISIN13941,Stripe 5
ISIN13942,Stripe 5
ISIN13943,Stripe 5
ISIN13944,Stripe 5
ISIN13945,Stripe 5
ISIN13946,Stripe 5
ISIN13947,Stripe 5
ISIN13948,Stripe 5
ISIN13949,Stripe 5
ISIN13950,Stripe 5
ISIN13951,Stripe 5
ISIN13952,Stripe 5
ISIN13953,Stripe 5
ISIN13954,Stripe 5
ISIN13955,Stripe 5
ISIN13956,Stripe 5
ISIN13957,Stripe 5
ISIN13958,Stripe 5
ISIN13959,Stripe 5
ISIN13960,Stripe 5
ISIN13961,Stripe 5
ISIN13962,Stripe 5
ISIN13963,Stripe 5
ISIN13964,Stripe 0
ISIN13965,Stripe 6
ISIN13966,Stripe 5
ISIN13967,Stripe 6
ISIN13968,Stripe 6
ISIN13969,Stripe 2
ISIN13970,Stripe 5
ISIN13971,Stripe 5
ISIN13972,Stripe 5
ISIN13973,Stripe 0
ISIN13974,Stripe 0
ISIN13975,Stripe 0
ISIN13976,Stripe 0
ISIN13977,Stripe 5
ISIN13978,Stripe 5
ISIN13979,Stripe 6
ISIN13980,Stripe 0
ISIN13981,Stripe 0
ISIN13982,Stripe 0
ISIN13983,Stripe 0
ISIN13984,Stripe 0
ISIN13985,Stripe 0
ISIN13987,Stripe 5
ISIN13988,Stripe 5
ISIN13989,Stripe 0
ISIN13990,Stripe 0
ISIN13991,Stripe 0
ISIN13992,Stripe 0
ISIN13993,Stripe 5
ISIN13994,Stripe 0
ISIN13995,Stripe 5
ISIN13996,Stripe 5
ISIN13997,Stripe 0
ISIN13998,Stripe 6
ISIN13999,Stripe 6
ISIN14000,Stripe 6
ISIN14001,Stripe 6
ISIN14002,Stripe 6
ISIN14003,Stripe 5
ISIN14004,Stripe 6
ISIN14005,Stripe 5
ISIN14006,Stripe 5
ISIN14007,Stripe 6
ISIN14011,Stripe 5
ISIN14013,Stripe 3
ISIN14014,Stripe 3
ISIN14015,Stripe 3
ISIN14016,Stripe 3
ISIN14017,Stripe 3
ISIN14018,Stripe 3
ISIN14019,Stripe 3
ISIN14020,Stripe 3
ISIN14021,Stripe 3
ISIN14022,Stripe 3
ISIN14023,Stripe 3
ISIN14024,Stripe 3
ISIN14025,Stripe 3
ISIN14026,Stripe 3
ISIN14027,Stripe 3
ISIN14028,Stripe 5
ISIN14029,Stripe 5
ISIN14030,Stripe 5
ISIN14031,Stripe 5
ISIN14032,Stripe 5
ISIN14033,Stripe 5
ISIN14034,Stripe 0
ISIN14035,Stripe 6
ISIN14036,Stripe 6
ISIN14037,Stripe 6
ISIN14038,Stripe 6
ISIN14039,Stripe 6
ISIN14040,Stripe 6
ISIN14041,Stripe 6
ISIN14042,Stripe 5
ISIN14043,Stripe 5
ISIN14044,Stripe 5
ISIN14045,Stripe 5
ISIN14046,Stripe 5
ISIN14047,Stripe 5
ISIN14048,Stripe 5
ISIN14049,Stripe 3
ISIN14050,Stripe 3
ISIN14051,Stripe 3
ISIN14052,Stripe 3
ISIN14053,Stripe 3
ISIN14054,Stripe 3
ISIN14055,Stripe 3
ISIN14056,Stripe 3
ISIN14057,Stripe 3
ISIN14058,Stripe 3
ISIN14059,Stripe 3
ISIN14060,Stripe 3
ISIN14061,Stripe 3
ISIN14062,Stripe 6
ISIN14063,Stripe 6
ISIN14064,Stripe 6
ISIN14066,Stripe 6
ISIN14067,Stripe 5
ISIN14068,Stripe 5
ISIN14069,Stripe 5
ISIN14070,Stripe 5
ISIN14071,Stripe 5
ISIN14072,Stripe 5
ISIN14073,Stripe 5
ISIN14074,Stripe 5
ISIN14075,Stripe 5
ISIN14076,Stripe 5
ISIN14077,Stripe 5
ISIN14078,Stripe 5
ISIN14079,Stripe 5
ISIN14081,Stripe 6
ISIN14082,Stripe 5
ISIN14083,Stripe 5
ISIN14084,Stripe 5
ISIN14085,Stripe 5
ISIN14087,Stripe 5
ISIN14088,Stripe 5
ISIN14089,Stripe 5
ISIN14090,Stripe 5
ISIN14091,Stripe 5
ISIN14092,Stripe 5
ISIN14093,Stripe 5
ISIN14094,Stripe 5
ISIN14095,Stripe 5
ISIN14096,Stripe 5
ISIN14097,Stripe 5
ISIN14098,Stripe 5
ISIN14099,Stripe 5
ISIN14100,Stripe 5
ISIN14101,Stripe 5
ISIN14102,Stripe 5
ISIN14103,Stripe 5
ISIN14104,Stripe 5
ISIN14105,Stripe 5
ISIN14106,Stripe 5
ISIN14107,Stripe 5
ISIN14108,Stripe 0
ISIN14110,Stripe 6
ISIN14111,Stripe 6
ISIN14112,Stripe 6
ISIN14113,Stripe 6
ISIN14114,Stripe 6
ISIN14115,Stripe 6
ISIN14116,Stripe 6
ISIN14117,Stripe 6
ISIN14118,Stripe 6
ISIN14119,Stripe 6
ISIN14120,Stripe 6
ISIN14121,Stripe 6
ISIN14122,Stripe 6
ISIN14123,Stripe 6
ISIN14124,Stripe 6
ISIN14125,Stripe 6
ISIN14126,Stripe 6
ISIN14127,Stripe 6
ISIN14128,Stripe 6
ISIN14129,Stripe 5
ISIN14130,Stripe 5
ISIN14131,Stripe 5
ISIN14132,Stripe 5
ISIN14133,Stripe 2
ISIN14136,Stripe 5
ISIN14137,Stripe 5
ISIN14139,Stripe 2
ISIN14140,Stripe 2
ISIN14141,Stripe 2
ISIN14142,Stripe 5
ISIN14143,Stripe 5
ISIN14144,Stripe 4
ISIN14145,Stripe 5
ISIN14146,Stripe 5
ISIN14147,Stripe 0
ISIN14148,Stripe 5
ISIN14149,Stripe 5
ISIN14150,Stripe 5
ISIN14151,Stripe 0
ISIN14152,Stripe 0
ISIN14153,Stripe 0
ISIN14154,Stripe 0
ISIN14155,Stripe 5
ISIN14156,Stripe 5
ISIN14157,Stripe 5
ISIN14158,Stripe 5
ISIN14159,Stripe 5
ISIN14160,Stripe 0
ISIN14161,Stripe 0
ISIN14162,Stripe 0
ISIN14163,Stripe 0
ISIN14164,Stripe 0
ISIN14165,Stripe 0
ISIN14168,Stripe 3
ISIN14169,Stripe 5
ISIN14170,Stripe 5
ISIN14171,Stripe 5
ISIN14172,Stripe 5
ISIN14174,Stripe 5
ISIN14175,Stripe 5
ISIN14176,Stripe 5
ISIN14177,Stripe 5
ISIN14178,Stripe 2
ISIN14179,Stripe 0
ISIN14180,Stripe 5
ISIN14181,Stripe 5
ISIN14182,Stripe 5
ISIN14183,Stripe 5
ISIN14184,Stripe 5
ISIN14185,Stripe 5
ISIN14186,Stripe 5
ISIN14187,Stripe 5
ISIN14188,Stripe 5
ISIN14189,Stripe 5
ISIN14190,Stripe 5
ISIN14191,Stripe 6
ISIN14192,Stripe 6
ISIN14193,Stripe 6
ISIN14194,Stripe 6
ISIN14195,Stripe 6
ISIN14196,Stripe 6
ISIN14197,Stripe 5
ISIN14198,Stripe 5
ISIN14199,Stripe 5
ISIN14200,Stripe 5
ISIN14201,Stripe 5
ISIN14202,Stripe 5
ISIN14203,Stripe 5
ISIN14204,Stripe 5
ISIN14205,Stripe 5
ISIN14206,Stripe 5
ISIN14207,Stripe 5
ISIN14208,Stripe 1
ISIN14209,Stripe 3
ISIN14210,Stripe 6
ISIN14212,Stripe 2
ISIN14213,Stripe 2
ISIN14214,Stripe 2
ISIN14215,Stripe 2
ISIN14216,Stripe 2
ISIN14217,Stripe 2
ISIN14218,Stripe 2
ISIN14219,Stripe 2
ISIN14220,Stripe 2
ISIN14221,Stripe 2
ISIN14222,Stripe 2
ISIN14223,Stripe 2
ISIN14224,Stripe 2
ISIN14225,Stripe 2
ISIN14226,Stripe 2
ISIN14227,Stripe 2
ISIN14228,Stripe 2
ISIN14229,Stripe 2
ISIN14230,Stripe 2
ISIN14231,Stripe 2
ISIN14232,Stripe 2
ISIN14233,Stripe 2
ISIN14234,Stripe 2
ISIN14235,Stripe 2
ISIN14236,Stripe 2
ISIN14237,Stripe 2
ISIN14239,Stripe 5
ISIN14240,Stripe 0
ISIN14241,Stripe 0
ISIN14242,Stripe 0
ISIN14243,Stripe 0
ISIN14244,Stripe 0
ISIN14245,Stripe 0
ISIN14246,Stripe 5
ISIN14247,Stripe 5
ISIN14248,Stripe 5
ISIN14249,Stripe 5
ISIN14250,Stripe 5
ISIN14251,Stripe 5
ISIN14252,Stripe 0
ISIN14253,Stripe 5
ISIN14254,Stripe 5
ISIN14255,Stripe 5
ISIN14256,Stripe 5
ISIN14257,Stripe 5
ISIN14258,Stripe 5
ISIN14259,Stripe 5
ISIN14260,Stripe 5
ISIN14261,Stripe 5
ISIN14262,Stripe 5
ISIN14263,Stripe 5
ISIN14264,Stripe 5
ISIN14265,Stripe 0
ISIN14266,Stripe 5
ISIN14267,Stripe 5
ISIN14268,Stripe 5
ISIN14269,Stripe 0
ISIN14270,Stripe 2
ISIN14271,Stripe 2
ISIN14272,Stripe 2
ISIN14273,Stripe 2
ISIN14274,Stripe 2
ISIN14275,Stripe 2
ISIN14276,Stripe 2
ISIN14277,Stripe 2
ISIN14278,Stripe 2
ISIN14279,Stripe 2
ISIN14280,Stripe 2
ISIN14281,Stripe 2
ISIN14282,Stripe 2
ISIN14283,Stripe 2
ISIN14284,Stripe 2
ISIN14285,Stripe 2
ISIN14286,Stripe 2
ISIN14287,Stripe 2
ISIN14288,Stripe 0
ISIN14289,Stripe 0
ISIN14290,Stripe 0
ISIN14291,Stripe 0
ISIN14292,Stripe 0
ISIN14293,Stripe 0
ISIN14294,Stripe 0
ISIN14295,Stripe 0
ISIN14296,Stripe 0
ISIN14297,Stripe 0
ISIN14298,Stripe 0
ISIN14299,Stripe 0
ISIN14300,Stripe 0
ISIN14301,Stripe 0
ISIN14302,Stripe 0
ISIN14303,Stripe 0
ISIN14304,Stripe 0
ISIN14305,Stripe 0
ISIN14306,Stripe 0
ISIN14307,Stripe 0
ISIN14308,Stripe 0
ISIN14309,Stripe 2
ISIN14310,Stripe 4
ISIN14311,Stripe 4
ISIN14312,Stripe 5
ISIN14313,Stripe 5
ISIN14314,Stripe 5
ISIN14315,Stripe 5
ISIN14316,Stripe 5
ISIN14317,Stripe 5
ISIN14318,Stripe 5
ISIN14319,Stripe 5
ISIN14320,Stripe 5
ISIN14321,Stripe 5
ISIN14322,Stripe 5
ISIN14323,Stripe 5
ISIN14324,Stripe 0
ISIN14325,Stripe 0
ISIN14328,Stripe 5
ISIN14336,Stripe 2
ISIN14337,Stripe 2
ISIN14338,Stripe 2
ISIN14339,Stripe 5
ISIN14340,Stripe 5
ISIN14341,Stripe 0
ISIN14348,Stripe 5
ISIN14349,Stripe 0
ISIN14350,Stripe 0
ISIN14351,Stripe 0
ISIN14352,Stripe 0
ISIN14353,Stripe 0
ISIN14354,Stripe 8
ISIN14355,Stripe 8
ISIN14356,Stripe 8
ISIN14357,Stripe 8
ISIN14358,Stripe 8
ISIN14359,Stripe 8
ISIN14360,Stripe 5
ISIN14361,Stripe 4
ISIN14362,Stripe 4
ISIN14363,Stripe 2
ISIN14364,Stripe 2
ISIN14365,Stripe 2
ISIN14366,Stripe 2
ISIN14367,Stripe 2
ISIN14368,Stripe 5
ISIN14369,Stripe 5
ISIN14370,Stripe 5
ISIN14371,Stripe 5
ISIN14372,Stripe 5
ISIN14373,Stripe 5
ISIN14374,Stripe 5
ISIN14375,Stripe 5
ISIN14376,Stripe 5
ISIN14377,Stripe 5
ISIN14378,Stripe 5
ISIN14379,Stripe 5
ISIN14380,Stripe 5
ISIN14381,Stripe 5
ISIN14382,Stripe 5
ISIN14383,Stripe 5
ISIN14384,Stripe 5
ISIN14385,Stripe 5
ISIN14386,Stripe 5
ISIN14387,Stripe 5
ISIN14388,Stripe 5
ISIN14389,Stripe 0
ISIN14390,Stripe 5
ISIN14391,Stripe 5
ISIN14392,Stripe 0
ISIN14393,Stripe 0
ISIN14395,Stripe 5
ISIN14396,Stripe 0
ISIN14397,Stripe 0
ISIN14398,Stripe 5
ISIN14399,Stripe 5
ISIN14401,Stripe 5
ISIN14402,Stripe 3
ISIN14409,Stripe 5
ISIN14410,Stripe 5
ISIN14411,Stripe 5
ISIN14412,Stripe 5
ISIN14413,Stripe 5
ISIN14414,Stripe 5
ISIN14415,Stripe 5
ISIN14416,Stripe 5
ISIN14417,Stripe 5
ISIN14418,Stripe 5
ISIN14419,Stripe 5
ISIN14420,Stripe 5
ISIN14421,Stripe 5
ISIN14422,Stripe 5
ISIN14423,Stripe 5
ISIN14424,Stripe 5
ISIN14425,Stripe 0
ISIN14427,Stripe 6
ISIN14428,Stripe 6
ISIN14429,Stripe 6
ISIN14430,Stripe 6
ISIN14431,Stripe 6
ISIN14432,Stripe 6
ISIN14433,Stripe 6
ISIN14434,Stripe 0
ISIN14435,Stripe 0
ISIN14436,Stripe 0
ISIN14437,Stripe 0
ISIN14438,Stripe 0
ISIN14439,Stripe 0
ISIN14440,Stripe 0
ISIN14441,Stripe 0
ISIN14442,Stripe 0
ISIN14443,Stripe 0
ISIN14444,Stripe 0
ISIN14445,Stripe 0
ISIN14446,Stripe 0
ISIN14447,Stripe 0
ISIN14448,Stripe 0
ISIN14449,Stripe 0
ISIN14450,Stripe 0
ISIN14451,Stripe 0
ISIN14452,Stripe 5
ISIN14453,Stripe 5
ISIN14454,Stripe 5
ISIN14457,Stripe 5
ISIN14458,Stripe 5
ISIN14459,Stripe 5
ISIN14460,Stripe 5
ISIN14461,Stripe 5
ISIN14462,Stripe 5
ISIN14463,Stripe 5
ISIN14464,Stripe 5
ISIN14465,Stripe 5
ISIN14466,Stripe 5
ISIN14467,Stripe 5
ISIN14468,Stripe 5
ISIN14469,Stripe 5
ISIN14470,Stripe 2
ISIN14471,Stripe 2
ISIN14472,Stripe 2
ISIN14473,Stripe 1
ISIN14474,Stripe 1
ISIN14475,Stripe 1
ISIN14477,Stripe 1
ISIN14478,Stripe 1
ISIN14480,Stripe 0
ISIN14481,Stripe 5
ISIN14482,Stripe 5
ISIN14483,Stripe 5
ISIN14484,Stripe 0
ISIN14485,Stripe 0
ISIN14486,Stripe 0
ISIN14487,Stripe 0
ISIN14488,Stripe 0
ISIN14489,Stripe 0
ISIN14490,Stripe 0
ISIN14491,Stripe 0
ISIN14492,Stripe 0
ISIN14493,Stripe 0
ISIN14494,Stripe 0
ISIN14495,Stripe 0
ISIN14496,Stripe 0
ISIN14497,Stripe 0
ISIN14498,Stripe 0
ISIN14499,Stripe 0
ISIN14500,Stripe 0
ISIN14501,Stripe 0
ISIN14502,Stripe 0
ISIN14503,Stripe 0
ISIN14504,Stripe 0
ISIN14505,Stripe 0
ISIN14506,Stripe 0
ISIN14507,Stripe 0
ISIN14508,Stripe 5
ISIN14509,Stripe 5
ISIN14510,Stripe 5
ISIN14511,Stripe 5
ISIN14512,Stripe 0
ISIN14513,Stripe 0
ISIN14514,Stripe 0
ISIN14515,Stripe 0
ISIN14516,Stripe 0
ISIN14517,Stripe 0
ISIN14518,Stripe 0
ISIN14521,Stripe 0
ISIN14522,Stripe 0
ISIN14523,Stripe 0
ISIN14524,Stripe 0
ISIN14525,Stripe 0
ISIN14526,Stripe 5
ISIN14527,Stripe 0
ISIN14528,Stripe 5
ISIN14529,Stripe 6
ISIN14530,Stripe 6
ISIN14531,Stripe 6
ISIN14532,Stripe 6
ISIN14533,Stripe 6
ISIN14534,Stripe 6
ISIN14535,Stripe 6
ISIN14536,Stripe 5
ISIN14537,Stripe 5
ISIN14538,Stripe 5
ISIN14539,Stripe 5
ISIN14540,Stripe 5
ISIN14541,Stripe 5
ISIN14542,Stripe 8
ISIN14543,Stripe 3
ISIN14544,Stripe 3
ISIN14545,Stripe 3
ISIN14546,Stripe 3
ISIN14547,Stripe 3
ISIN14548,Stripe 3
ISIN14549,Stripe 1
ISIN14550,Stripe 1
ISIN14551,Stripe 5
ISIN14552,Stripe 0
ISIN14553,Stripe 0
ISIN14554,Stripe 0
ISIN14555,Stripe 0
ISIN14556,Stripe 0
ISIN14557,Stripe 0
ISIN14558,Stripe 0
ISIN14559,Stripe 0
ISIN14560,Stripe 0
ISIN14561,Stripe 0
ISIN14562,Stripe 0
ISIN14563,Stripe 0
ISIN14564,Stripe 0
ISIN14565,Stripe 0
ISIN14566,Stripe 0
ISIN14567,Stripe 0
ISIN14568,Stripe 0
ISIN14569,Stripe 0
ISIN14570,Stripe 0
ISIN14571,Stripe 0
ISIN14572,Stripe 0
ISIN14573,Stripe 0
ISIN14574,Stripe 0
ISIN14575,Stripe 0
ISIN14576,Stripe 0
ISIN14577,Stripe 0
ISIN14578,Stripe 0
ISIN14579,Stripe 0
ISIN14580,Stripe 0
ISIN14581,Stripe 0
ISIN14582,Stripe 0
ISIN14583,Stripe 0
ISIN14584,Stripe 0
ISIN14585,Stripe 0
ISIN14586,Stripe 0
ISIN14587,Stripe 0
ISIN14588,Stripe 0
ISIN14589,Stripe 0
ISIN14590,Stripe 0
ISIN14591,Stripe 0
ISIN14592,Stripe 0
ISIN14593,Stripe 0
ISIN14594,Stripe 0
ISIN14595,Stripe 0
ISIN14596,Stripe 0
ISIN14597,Stripe 0
ISIN14598,Stripe 0
ISIN14599,Stripe 0
ISIN14600,Stripe 0
ISIN14601,Stripe 0
ISIN14602,Stripe 0
ISIN14603,Stripe 0
ISIN14604,Stripe 0
ISIN14605,Stripe 0
ISIN14606,Stripe 0
ISIN14607,Stripe 0
ISIN14608,Stripe 0
ISIN14609,Stripe 0
ISIN14610,Stripe 0
ISIN14611,Stripe 0
ISIN14612,Stripe 0
ISIN14613,Stripe 0
ISIN14614,Stripe 0
ISIN14615,Stripe 0
ISIN14616,Stripe 0
