ISIN,SP_rating,Moody_rating,Currency,Is_Emerging_Market,Seniority,Callable,Days_to_Settle,Issue_Date,Collateral_Type,Coupon_Frequency,Coupon_Type,Maturity_Date,Industry_Group,Industry_Sector,Industry_SubGroup,Issuer_Name,Ticker,Country_Of_Domicile,Risk_Stripe
ISIN26,sp_rating2,,Currency3,N,Seniority1,Y,2,7-Aug-15,Collateral Type1,Coupon Frequency0,Coupon Type1,7-Aug-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name10,Ticker9,Country4,Stripe 3
ISIN27,,,Currency0,N,Seniority1,Y,2,20-Feb-04,Collateral Type1,Coupon Frequency0,Coupon Type2,15-Jul-49,Industry Group8,Industry Sector2,Industry SubGroup10,Issuer Name11,Ticker10,Country5,Stripe 3
ISIN28,sp_rating5,moody_rating6,Currency0,N,Seniority1,Y,2,7-Jun-05,Collateral Type1,Coupon Frequency0,Coupon Type3,7-Jun-49,Industry Group5,Industry Sector2,Industry SubGroup11,Issuer Name12,Ticker11,Country6,Stripe 11
ISIN29,sp_rating6,moody_rating7,Currency0,N,Seniority1,Y,2,27-Jun-05,Collateral Type1,Coupon Frequency0,Coupon Type1,27-Jun-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name13,Ticker12,Country6,Stripe 11
ISIN30,sp_rating7,moody_rating8,Currency0,N,Seniority1,Y,2,28-Jun-05,Collateral Type1,Coupon Frequency0,Coupon Type0,30-Jun-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name14,Ticker13,Country7,Stripe 3
ISIN31,sp_rating8,moody_rating9,Currency0,N,Seniority0,N,2,12-Mar-09,Collateral Type2,Coupon Frequency0,Coupon Type0,12-Mar-19,Industry Group9,Industry Sector1,Industry SubGroup12,Issuer Name15,Ticker14,Country8,Stripe 5
ISIN32,sp_rating2,,Currency0,N,Seniority1,Y,2,15-May-08,Collateral Type2,Coupon Frequency0,Coupon Type0,15-May-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name16,Ticker12,Country6,Stripe 3
ISIN33,sp_rating5,moody_rating0,Currency0,N,Seniority0,N,2,16-Jul-09,Collateral Type0,Coupon Frequency0,Coupon Type0,16-Jul-21,Industry Group3,Industry Sector3,Industry SubGroup13,Issuer Name17,Ticker15,Country5,Stripe 6
ISIN34,,,Currency0,N,Seniority0,Y,2,15-Apr-14,Collateral Type0,Coupon Frequency0,Coupon Type0,15-Apr-21,Industry Group10,Industry Sector6,Industry SubGroup14,Issuer Name18,Ticker16,Country5,Stripe 7
ISIN35,sp_rating0,moody_rating10,Currency0,N,Seniority1,Y,2,1-Jul-14,Collateral Type1,Coupon Frequency0,Coupon Type1,1-Jul-75,Industry Group4,Industry Sector4,Industry SubGroup4,Issuer Name19,Ticker17,Country5,Stripe 8
ISIN36,sp_rating0,moody_rating10,Currency0,N,Seniority1,Y,2,1-Jul-14,Collateral Type1,Coupon Frequency0,Coupon Type1,1-Jul-74,Industry Group4,Industry Sector4,Industry SubGroup4,Issuer Name19,Ticker17,Country5,Stripe 8
ISIN37,sp_rating9,moody_rating11,Currency0,N,Seniority0,N,2,8-Jul-14,Collateral Type0,Coupon Frequency0,Coupon Type0,8-Jul-24,Industry Group7,Industry Sector5,Industry SubGroup8,Issuer Name20,Ticker18,Country5,Stripe 7
ISIN38,,,Currency0,N,Seniority0,N,2,28-May-14,Collateral Type0,Coupon Frequency0,Coupon Type0,28-May-19,Industry Group1,Industry Sector1,Industry SubGroup15,Issuer Name21,Ticker19,Country5,Stripe 6
ISIN39,,,Currency0,N,Seniority0,Y,2,27-Nov-14,Collateral Type0,Coupon Frequency0,Coupon Type0,27-Nov-19,Industry Group11,Industry Sector1,Industry SubGroup16,Issuer Name22,Ticker20,Country5,Stripe 11
ISIN40,sp_rating10,moody_rating3,Currency0,N,Seniority1,Y,2,18-Sep-14,Collateral Type1,Coupon Frequency0,Coupon Type1,18-Sep-49,Industry Group2,Industry Sector2,Industry SubGroup2,Issuer Name23,Ticker21,Country5,Stripe 10
ISIN41,sp_rating1,moody_rating12,Currency0,N,Seniority0,N,2,28-Oct-14,Collateral Type0,Coupon Frequency0,Coupon Type0,28-Oct-21,Industry Group12,Industry Sector4,Industry SubGroup17,Issuer Name24,Ticker22,Country5,Stripe 5
ISIN42,sp_rating2,moody_rating13,Currency0,N,Seniority0,Y,2,25-Feb-15,Collateral Type0,Coupon Frequency0,Coupon Type0,25-Nov-20,Industry Group0,Industry Sector0,Industry SubGroup0,Issuer Name25,Ticker23,Country5,Stripe 6
ISIN43,sp_rating2,moody_rating13,Currency0,N,Seniority0,N,2,25-Feb-15,Collateral Type0,Coupon Frequency0,Coupon Type0,25-Feb-25,Industry Group0,Industry Sector0,Industry SubGroup0,Issuer Name25,Ticker23,Country5,Stripe 6
ISIN44,sp_rating0,moody_rating10,Currency0,N,Seniority1,Y,2,2-Apr-15,Collateral Type1,Coupon Frequency0,Coupon Type1,2-Apr-75,Industry Group4,Industry Sector4,Industry SubGroup4,Issuer Name19,Ticker17,Country5,Stripe 8
ISIN45,sp_rating11,moody_rating14,Currency0,N,Seniority0,Y,2,5-May-15,Collateral Type2,Coupon Frequency1,Coupon Type0,15-May-22,Industry Group13,Industry Sector1,Industry SubGroup18,Issuer Name26,Ticker24,Country5,Stripe 1
ISIN46,sp_rating2,moody_rating7,Currency0,N,Seniority0,N,5,27-Apr-15,Collateral Type2,Coupon Frequency0,Coupon Type0,26-Apr-19,Industry Group8,Industry Sector2,Industry SubGroup10,Issuer Name27,Ticker25,Country6,Stripe 0
ISIN47,sp_rating2,moody_rating7,Currency0,N,Seniority0,N,5,27-Apr-15,Collateral Type2,Coupon Frequency0,Coupon Type0,27-Apr-23,Industry Group8,Industry Sector2,Industry SubGroup10,Issuer Name27,Ticker25,Country6,Stripe 0
ISIN48,sp_rating10,moody_rating3,Currency0,N,Seniority2,Y,2,9-Apr-15,Collateral Type3,Coupon Frequency0,Coupon Type1,7-Jul-45,Industry Group2,Industry Sector2,Industry SubGroup2,Issuer Name23,Ticker21,Country5,Stripe 10
ISIN49,sp_rating3,moody_rating3,Currency0,N,Seniority0,Y,2,1-Apr-15,Collateral Type0,Coupon Frequency0,Coupon Type0,1-Apr-25,Industry Group14,Industry Sector7,Industry SubGroup19,Issuer Name28,Ticker26,Country5,Stripe 7
ISIN50,sp_rating10,,Currency0,N,Seniority1,Y,2,5-Aug-15,Collateral Type1,Coupon Frequency0,Coupon Type1,5-Feb-41,Industry Group8,Industry Sector2,Industry SubGroup10,Issuer Name29,Ticker27,Country5,Stripe 8
ISIN51,sp_rating1,moody_rating12,Currency0,N,Seniority0,N,2,22-Feb-10,Collateral Type2,Coupon Frequency0,Coupon Type0,22-Feb-17,Industry Group12,Industry Sector4,Industry SubGroup17,Issuer Name30,Ticker22,Country8,Stripe 5
ISIN52,sp_rating8,moody_rating15,Currency0,N,Seniority0,N,2,14-Feb-12,Collateral Type2,Coupon Frequency0,Coupon Type0,14-Feb-22,Industry Group2,Industry Sector2,Industry SubGroup2,Issuer Name31,Ticker21,Country8,Stripe 4
ISIN53,sp_rating10,moody_rating1,Currency2,N,Seniority0,N,2,10-Sep-12,Collateral Type2,Coupon Frequency0,Coupon Type0,10-Sep-42,Industry Group15,Industry Sector1,Industry SubGroup20,Issuer Name32,Ticker28,Country8,Stripe 9
ISIN54,sp_rating10,moody_rating3,Currency0,N,Seniority2,Y,2,8-Mar-11,Collateral Type2,Coupon Frequency0,Coupon Type1,8-Jul-41,Industry Group2,Industry Sector2,Industry SubGroup2,Issuer Name31,Ticker21,Country8,Stripe 10
ISIN55,sp_rating8,moody_rating15,Currency0,N,Seniority0,N,2,13-Mar-13,Collateral Type2,Coupon Frequency0,Coupon Type0,13-Mar-28,Industry Group2,Industry Sector2,Industry SubGroup2,Issuer Name31,Ticker21,Country8,Stripe 4
ISIN56,sp_rating12,,Currency0,N,Seniority0,N,2,25-Jul-13,Collateral Type2,Coupon Frequency0,Coupon Type0,25-Jul-19,Industry Group16,Industry Sector2,Industry SubGroup21,Issuer Name33,Ticker29,Country8,Stripe 6
ISIN57,,,Currency0,N,Seniority0,N,2,20-Apr-11,Collateral Type2,Coupon Frequency0,Coupon Type0,20-Apr-16,Industry Group17,Industry Sector6,Industry SubGroup22,Issuer Name34,Ticker30,Country5,Stripe 7
ISIN58,sp_rating1,moody_rating12,Currency0,N,Seniority0,N,2,1-Mar-12,Collateral Type0,Coupon Frequency0,Coupon Type0,1-Mar-19,Industry Group12,Industry Sector4,Industry SubGroup17,Issuer Name24,Ticker22,Country5,Stripe 5
ISIN59,,,Currency0,N,Seniority0,N,2,23-Mar-12,Collateral Type0,Coupon Frequency0,Coupon Type0,23-Mar-17,Industry Group1,Industry Sector1,Industry SubGroup15,Issuer Name21,Ticker19,Country5,Stripe 6
ISIN60,sp_rating9,moody_rating11,Currency0,N,Seniority0,N,2,24-Jan-14,Collateral Type0,Coupon Frequency0,Coupon Type0,24-Jan-22,Industry Group7,Industry Sector5,Industry SubGroup8,Issuer Name20,Ticker18,Country5,Stripe 7
ISIN61,sp_rating9,moody_rating11,Currency0,N,Seniority0,N,2,8-Mar-13,Collateral Type0,Coupon Frequency0,Coupon Type0,8-Mar-23,Industry Group7,Industry Sector5,Industry SubGroup8,Issuer Name20,Ticker18,Country5,Stripe 7
ISIN62,,,Currency0,N,Seniority0,N,2,13-Nov-12,Collateral Type0,Coupon Frequency0,Coupon Type0,13-Nov-19,Industry Group14,Industry Sector7,Industry SubGroup19,Issuer Name28,Ticker26,Country5,Stripe 7
ISIN63,sp_rating10,moody_rating3,Currency0,N,Seniority2,Y,2,16-Oct-12,Collateral Type3,Coupon Frequency0,Coupon Type1,17-Oct-42,Industry Group2,Industry Sector2,Industry SubGroup2,Issuer Name23,Ticker21,Country5,Stripe 10
ISIN64,,,Currency0,N,Seniority0,N,2,20-Mar-13,Collateral Type0,Coupon Frequency0,Coupon Type0,20-Mar-20,Industry Group1,Industry Sector1,Industry SubGroup15,Issuer Name21,Ticker19,Country5,Stripe 6
ISIN65,,,Currency0,N,Seniority1,Y,2,20-Nov-14,Collateral Type1,Coupon Frequency0,Coupon Type1,30-Apr-49,Industry Group5,Industry Sector2,Industry SubGroup23,Issuer Name35,Ticker31,Country5,Stripe 3
ISIN66,sp_rating9,moody_rating11,Currency0,N,Seniority0,N,2,25-Jun-13,Collateral Type0,Coupon Frequency0,Coupon Type0,25-Jun-21,Industry Group7,Industry Sector5,Industry SubGroup8,Issuer Name20,Ticker18,Country5,Stripe 7
ISIN67,sp_rating9,moody_rating11,Currency0,N,Seniority0,N,2,7-Oct-13,Collateral Type0,Coupon Frequency0,Coupon Type0,7-Apr-20,Industry Group7,Industry Sector5,Industry SubGroup8,Issuer Name20,Ticker18,Country5,Stripe 7
ISIN68,sp_rating12,,Currency0,N,Seniority0,N,2,9-Jul-14,Collateral Type2,Coupon Frequency0,Coupon Type0,9-Jul-22,Industry Group16,Industry Sector2,Industry SubGroup21,Issuer Name33,Ticker29,Country8,Stripe 6
ISIN69,,moody_rating8,Currency0,N,Seniority1,Y,2,6-Oct-14,Collateral Type1,Coupon Frequency0,Coupon Type1,9-Feb-49,Industry Group11,Industry Sector1,Industry SubGroup16,Issuer Name36,Ticker32,Country0,Stripe 8
ISIN70,sp_rating10,moody_rating3,Currency2,N,Seniority0,N,2,20-Nov-14,Collateral Type2,Coupon Frequency0,Coupon Type0,20-Nov-19,Industry Group7,Industry Sector5,Industry SubGroup8,Issuer Name37,Ticker33,Country6,Stripe 9
ISIN71,sp_rating12,,Currency0,N,Seniority0,N,2,30-Mar-15,Collateral Type2,Coupon Frequency0,Coupon Type0,30-Mar-20,Industry Group16,Industry Sector2,Industry SubGroup21,Issuer Name33,Ticker29,Country8,Stripe 6
ISIN72,sp_rating12,,Currency0,N,Seniority0,N,2,30-Mar-15,Collateral Type2,Coupon Frequency0,Coupon Type0,31-Mar-25,Industry Group16,Industry Sector2,Industry SubGroup21,Issuer Name33,Ticker29,Country8,Stripe 6
ISIN73,sp_rating10,moody_rating3,Currency0,N,Seniority0,N,2,20-Apr-15,Collateral Type2,Coupon Frequency0,Coupon Type0,20-Apr-27,Industry Group7,Industry Sector5,Industry SubGroup8,Issuer Name37,Ticker33,Country6,Stripe 7
ISIN74,,,Currency0,N,Seniority0,N,2,10-Nov-10,Collateral Type0,Coupon Frequency2,Coupon Type0,10-Nov-15,Industry Group18,Industry Sector5,Industry SubGroup24,Issuer Name38,Ticker34,Country5,Stripe 11
ISIN75,,,Currency0,N,Seniority0,N,2,19-Apr-11,Collateral Type0,Coupon Frequency2,Coupon Type0,19-Apr-18,Industry Group18,Industry Sector5,Industry SubGroup24,Issuer Name38,Ticker34,Country5,Stripe 11
ISIN76,sp_rating6,moody_rating7,Currency0,N,Seniority2,N,2,16-Mar-11,Collateral Type3,Coupon Frequency0,Coupon Type0,16-Mar-21,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name39,Ticker35,Country5,Stripe 4
ISIN77,sp_rating12,moody_rating0,Currency0,N,Seniority0,N,2,16-Sep-10,Collateral Type0,Coupon Frequency0,Coupon Type0,16-Sep-20,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name39,Ticker35,Country5,Stripe 4
ISIN78,sp_rating2,moody_rating16,Currency0,N,Seniority1,Y,2,27-May-14,Collateral Type1,Coupon Frequency0,Coupon Type1,30-Apr-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name40,Ticker12,Country5,Stripe 3
ISIN79,sp_rating1,moody_rating13,Currency0,N,Seniority2,N,2,17-Feb-15,Collateral Type3,Coupon Frequency0,Coupon Type0,17-Feb-25,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name40,Ticker12,Country5,Stripe 4
ISIN80,sp_rating5,moody_rating8,Currency0,N,Seniority2,Y,2,14-Feb-07,Collateral Type3,Coupon Frequency2,Coupon Type1,14-Feb-17,Industry Group5,Industry Sector2,Industry SubGroup11,Issuer Name41,Ticker36,Country5,Stripe 3
ISIN81,sp_rating5,moody_rating8,Currency0,N,Seniority2,Y,2,14-Feb-07,Collateral Type3,Coupon Frequency2,Coupon Type3,14-Feb-17,Industry Group5,Industry Sector2,Industry SubGroup11,Issuer Name41,Ticker36,Country5,Stripe 3
ISIN82,sp_rating9,,Currency0,N,Seniority0,N,2,23-Jul-14,Collateral Type0,Coupon Frequency0,Coupon Type0,23-Jul-26,Industry Group2,Industry Sector2,Industry SubGroup2,Issuer Name42,Ticker37,Country5,Stripe 4
ISIN83,sp_rating13,moody_rating2,Currency0,N,Seniority2,Y,2,22-May-14,Collateral Type3,Coupon Frequency0,Coupon Type1,22-May-24,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name43,Ticker38,Country9,Stripe 2
ISIN84,sp_rating2,moody_rating13,Currency0,N,Seniority2,N,2,11-Sep-09,Collateral Type3,Coupon Frequency0,Coupon Type0,11-Sep-19,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name44,Ticker39,Country9,Stripe 2
ISIN85,sp_rating14,moody_rating5,Currency0,N,Seniority2,Y,2,28-Jul-15,Collateral Type3,Coupon Frequency0,Coupon Type1,28-Jul-25,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name45,Ticker40,Country9,Stripe 2
ISIN86,,,Currency0,N,Seniority0,N,2,9-May-14,Collateral Type0,Coupon Frequency0,Coupon Type0,9-May-19,Industry Group8,Industry Sector2,Industry SubGroup25,Issuer Name46,Ticker41,Country9,Stripe 2
ISIN87,sp_rating0,moody_rating10,Currency0,N,Seniority0,N,2,22-Jan-13,Collateral Type0,Coupon Frequency0,Coupon Type0,22-Jan-16,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name47,Ticker42,Country9,Stripe 2
ISIN88,sp_rating12,moody_rating0,Currency2,N,Seniority0,N,2,20-Dec-02,Collateral Type0,Coupon Frequency0,Coupon Type0,20-Dec-17,Industry Group17,Industry Sector6,Industry SubGroup22,Issuer Name48,Ticker43,Country1,Stripe 9
ISIN89,sp_rating6,moody_rating7,Currency0,N,Seniority1,Y,2,25-Jan-05,Collateral Type1,Coupon Frequency0,Coupon Type1,25-Jan-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name49,Ticker44,Country1,Stripe 11
ISIN90,sp_rating6,moody_rating13,Currency0,N,Seniority1,Y,2,17-Oct-05,Collateral Type1,Coupon Frequency0,Coupon Type0,17-Oct-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name50,Ticker45,Country1,Stripe 3
ISIN91,sp_rating6,moody_rating13,Currency3,N,Seniority1,Y,2,17-Oct-05,Collateral Type1,Coupon Frequency0,Coupon Type0,17-Oct-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name50,Ticker45,Country1,Stripe 3
ISIN92,sp_rating0,moody_rating0,Currency0,N,Seniority0,N,2,12-Dec-05,Collateral Type0,Coupon Frequency0,Coupon Type0,11-Dec-20,Industry Group19,Industry Sector3,Industry SubGroup26,Issuer Name51,Ticker46,Country1,Stripe 6
ISIN93,sp_rating6,moody_rating7,Currency3,N,Seniority1,Y,2,27-Jan-06,Collateral Type1,Coupon Frequency2,Coupon Type0,27-Jan-49,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name52,Ticker47,Country1,Stripe 3
ISIN94,sp_rating6,moody_rating7,Currency0,N,Seniority1,Y,2,1-Feb-06,Collateral Type1,Coupon Frequency0,Coupon Type1,1-Feb-49,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name52,Ticker47,Country1,Stripe 3
ISIN95,sp_rating6,moody_rating7,Currency2,N,Seniority1,Y,2,24-Feb-06,Collateral Type1,Coupon Frequency0,Coupon Type1,24-Feb-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name53,Ticker48,Country1,Stripe 10
ISIN96,sp_rating5,moody_rating11,Currency0,N,Seniority1,Y,2,16-Mar-06,Collateral Type1,Coupon Frequency2,Coupon Type1,16-Mar-49,Industry Group8,Industry Sector2,Industry SubGroup10,Issuer Name54,Ticker49,Country1,Stripe 3
ISIN97,sp_rating9,,Currency0,N,Seniority0,N,2,24-May-06,Collateral Type0,Coupon Frequency0,Coupon Type0,24-May-21,Industry Group20,Industry Sector4,Industry SubGroup27,Issuer Name55,Ticker50,Country1,Stripe 6
ISIN98,sp_rating1,,Currency0,N,Seniority1,Y,2,15-Nov-06,Collateral Type1,Coupon Frequency0,Coupon Type1,29-Nov-49,Industry Group2,Industry Sector2,Industry SubGroup7,Issuer Name56,Ticker51,Country1,Stripe 10
ISIN99,sp_rating12,,Currency0,N,Seniority1,Y,2,22-Dec-06,Collateral Type1,Coupon Frequency0,Coupon Type1,22-Dec-49,Industry Group2,Industry Sector2,Industry SubGroup2,Issuer Name57,Ticker52,Country1,Stripe 10
ISIN100,sp_rating6,moody_rating13,Currency3,N,Seniority1,Y,2,6-Jun-07,Collateral Type1,Coupon Frequency2,Coupon Type0,6-Jun-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name50,Ticker45,Country1,Stripe 3
ISIN101,sp_rating9,moody_rating0,Currency0,N,Seniority0,N,2,4-Jul-07,Collateral Type0,Coupon Frequency0,Coupon Type0,4-Jul-22,Industry Group20,Industry Sector4,Industry SubGroup27,Issuer Name58,Ticker50,Country1,Stripe 6
ISIN102,sp_rating6,moody_rating13,Currency0,N,Seniority1,Y,2,30-Jun-08,Collateral Type1,Coupon Frequency0,Coupon Type1,2-Apr-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name50,Ticker45,Country1,Stripe 3
ISIN103,,moody_rating11,Currency0,N,Seniority0,N,2,8-Apr-09,Collateral Type0,Coupon Frequency0,Coupon Type0,8-Apr-19,Industry Group19,Industry Sector3,Industry SubGroup26,Issuer Name59,Ticker53,Country1,Stripe 6
ISIN104,,moody_rating7,Currency0,N,Seniority1,Y,2,6-Aug-09,Collateral Type1,Coupon Frequency0,Coupon Type1,30-Jun-49,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name52,Ticker47,Country1,Stripe 3
ISIN105,sp_rating6,moody_rating7,Currency3,N,Seniority1,Y,2,6-Aug-09,Collateral Type1,Coupon Frequency0,Coupon Type0,30-Sep-49,Industry Group5,Industry Sector2,Industry SubGroup5,Issuer Name52,Ticker47,Country1,Stripe 3
ISIN106,sp_rating4,,Currency0,N,Seniority0,N,2,23-Sep-09,Collateral Type0,Coupon Frequency0,Coupon Type0,23-Sep-24,Industry Group21,Industry Sector1,Industry SubGroup28,Issuer Name60,Ticker54,Country1,Stripe 6
ISIN107,sp_rating6,moody_rating7,Currency0,N,Seniority1,Y,2,26-Oct-09,Collateral Type1,Coupon Frequency0,Coupon Type1,26-Oct-49,Industry Group5,Industry Sector2,Industry SubGroup9,Issuer Name53,Ticker48,Country1,Stripe 3
